Indicação de data e hora,Situação,Sexo:,Com qual cor/etnia você se identifica?,estado_civil,tem_filhos,renda_mensal_da_família,com_quem_mora_atualmente,residindo_em,dist_moradia_atual_para_universidade,Qual meio de transporte você utiliza para chegar à universidade,apresent_alguma_necessidade_educacional_especial,tipo_escola_cursou_ensino_fundamental,tipo_escola_cursou_ensino_médio,forma_ingresso,como_tomou_conhecimento_do_curso_de_sua_escolha,trabalha_exerce_alguma_atividade_remunerada,,participa_algum_tipo_de_atividade_organização_associação,principal_fator_que_determinou_sua_escolha_por_este_curso,,afinidade_linguagens,afinidade_humanas,afinidade_matemática,afinidade_ciencias_natureza,horas_diárias_de_estudo_fora_de_sala,motivação,Indique em que medida você conhece sobre o curso de sua escolha: [As atividades e tarefas exercidas durante o curso.],Indique em que medida você conhece sobre o curso de sua escolha: [O nível de dedicação exigido.],Indique em que medida você conhece sobre o curso de sua escolha: [As disciplinas ofertadas.],Indique em que medida você conhece sobre o curso de sua escolha: [As competências e habilidades requeridas.],"Indique em que medida você conhece sobre o curso de sua escolha: [As condições do mercado de trabalho (salário, empregabilidade, etc).]","De acordo com sua percepção sobre sua vida acadêmica neste início de curso, assinale os itens a seguir: [Tenho boas competências para a área de tecnologia da informação.]","De acordo com sua percepção sobre sua vida acadêmica neste início de curso, assinale os itens a seguir: [Julgo que o meu curso me permitirá me realizar profissionalmente.]","De acordo com sua percepção sobre sua vida acadêmica neste início de curso, assinale os itens a seguir: [Pretendo concluir meu curso nesta instituição.]","De acordo com sua percepção sobre sua vida acadêmica neste início de curso, assinale os itens a seguir: [Mesmo que pudesse, não mudaria de curso.]","De acordo com sua percepção sobre sua vida acadêmica neste início de curso, assinale os itens a seguir: [Mesmo que pudesse, não mudaria de curso.]","De acordo com sua percepção sobre sua vida acadêmica neste início de curso, assinale os itens a seguir: [Mesmo que pudesse, não mudaria de curso.]","De acordo com sua percepção sobre sua vida acadêmica neste início de curso, assinale os itens a seguir: [Mesmo que pudesse, não mudaria de curso.]",Assinale DOIS fatores que você acredita que o ajudarão a concluir o curso com êxito:,Quais suas expectativas com a conclusão de seu curso?,O que você espera do curso que está inciando? Quais suas expectativas?,Curso em que você está matriculado:,"Quais foram a primeira e a segunda opção de cursos que você escolheu no ENEM/Sisu, respectivamente?",Assinale as DUAS principais dificuldades que você percebeu influenciar a conclusão do curso:,Você já concluiu ou está cursando algum outro curso tecnológico ou de graduação? [Não.],"Dentre os cursos oferecidos pela UFC, aquele no qual você havia ingressado sempre foi a formação que você desejou realizar?"
5/18/2015 15:54:15,CANCELADO/DESISTÊNCIA,Masculino,,Solteiro/a,Não,De 2001 até 3000 reais,Família,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Particular,Ampla concorrência,No site da universidade.,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Boa afinidade,Boa afinidade,Boa afinidade,Muita afinidade,Até 2 horas,Motivado.,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Algum conhecimento,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,,,,"Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão.",Gostaria de ganhar dinheiro com o meu próprio negócio.,"Eu espero que seja um curso abrangente, que englobe tanto a parte de hardware quanto a de software. Tenho boas expectativas por ouvir falar muito bem do campus e dos professores.",Engenharia de computação,Eng. de Computação - UFC Campus Quixadá; Eng. de Computação - UFC Campus Quixadá; Eng. de Computação - UFC Campus Quixadá; Eng. de Computação - UFC Campus Quixadá; Eng. de Computação - UFC Campus Quixadá; Eng. de Computação - UFC Campus Pici,"Dificuldade de Transporte, Dificuldade de Organizar Horários de Estudos",,
5/18/2015 15:55:03,ATIVO,Masculino,,Solteiro/a,Não,Até 1000 reais,Sozinho,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Particular,Ampla concorrência,Soube no momento da minha inscrição no SISU.,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Alguma afinidade,Alguma afinidade,Muita afinidade,Muita afinidade,De 2 a 3 horas,Pouco motivado.,Algum conhecimento,Conheço muito bem,Algum conhecimento,Conheço bem,Conheço muito bem,Verifica-se com frequência,Verifica-se com frequência,Poucas vezes se verifica,Poucas vezes se verifica,,,,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.",Gostaria de ganhar dinheiro com o meu próprio negócio.,"Adquirir conhecimentos sobre a área escolhida , que me torne um bom profissional no ramo e na área de trabalho que eu quero seguir .",Engenharia de computação,"ENGENHARIA DE COMPUTAÇÃO , ENGENHARIA DA COMPUTAÇÃO","Dificuldade de Organizar Horários de Estudos, Dificuldade de Concentração",,
5/18/2015 15:56:19,ATIVO,Masculino,,Solteiro/a,Não,De 2001 até 3000 reais,Família,Zona urbana,Até 10 km,Automóvel particular,Não,Pública,Pública - Profissionalizante na Área de Informática,Ampla concorrência,Obtive conhecimento através de amigos e familiares.,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Pouquíssima afinidade,Alguma afinidade,Muita afinidade,Boa afinidade,De 3 a 4 horas,Motivado.,Algum conhecimento,Conheço bem,Conheço bem,Algum conhecimento,Conheço bem,Verifica-se com frequência,Poucas vezes se verifica,Verifica-se sempre,Verifica-se com frequência,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.",Gostaria de prestar um concurso e trabalhar no setor público.,Espero que consiga se formar ao longo do periodo de 5 anos; Muitas expectativas na area da robotica.,Engenharia de computação,Engenharia de Computação/Ciencia da Computação,"Dificuldade de Organizar Horários de Estudos, Dificuldade com o aprendizado da matemática",,
5/18/2015 15:58:28,CANCELADO/ABANDONO,Masculino,,Solteiro/a,Não,De 1001 até 2000 reais,Sozinho,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Pública - Profissionalizante na Área de Informática,"Cota L3 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA)",No site da universidade.,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Muita afinidade,Muita afinidade,Boa afinidade,Alguma afinidade,De 2 a 3 horas,Muito motivado.,Algum conhecimento,Conheço muito bem,Conheço bem,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,Verifica-se com frequência,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade).","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).",Que seja interessante.,Engenharia de computação,Engenharia de computação e sistemas de informação,"Problemas Financeiros, Dificuldade com o aprendizado da matemática",,
5/18/2015 15:59:01,ATIVO,Masculino,,Solteiro/a,Não,De 2001 até 3000 reais,Família,Zona urbana,Entre 50 km e 100 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)","Amigo, graduandos na UFC campus Quixadá",Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Boa afinidade,Boa afinidade,Muita afinidade,Muita afinidade,De 3 a 4 horas,Motivado.,Conheço bem,Conheço muito bem,Conheço muito bem,Conheço bem,Conheço muito bem,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,Verifica-se com frequência,,,,"Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão.",Gostaria de prestar um concurso e trabalhar no setor público.,"Espero um grande embasamento tanto teórico, quanto prático, além de ter um bom conhecimento do mercado de trabalho.",Engenharia de computação,Eng. de Computação/ Ciência da Computação,"Dificuldade de Organizar Horários de Estudos, Dificuldade de Concentração",,
5/18/2015 15:59:04,CANCELADO/ABANDONO,Masculino,,Solteiro/a,Não,De 2001 até 3000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Particular,Ampla concorrência,Soube no momento da minha inscrição no SISU.,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Alguma afinidade,Boa afinidade,Muita afinidade,Boa afinidade,De 2 a 3 horas,Muito motivado.,Algum conhecimento,Conheço bem,Algum conhecimento,Conheço bem,Pouquíssimo conhecimento,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,Poucas vezes se verifica,,,,"Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão.",Gostaria de ganhar dinheiro com o meu próprio negócio.,"Espero aproveitar ao máximo a oportunidade que eu tenho na UFC, e me qualificar para ser um excelente profissional no futuro.",Engenharia de computação,engenharia de petróleo e engenharia de computação,"Dificuldade de Organizar Horários de Estudos, Dificuldade com o aprendizado de programação",,
5/18/2015 16:00:02,ATIVO,Masculino,,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Entre 10 km e 25 km,Ônibus universitário,Não,Particular,Particular,Ampla concorrência,Obtive conhecimento através de amigos e familiares.,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Boa afinidade,Boa afinidade,Boa afinidade,Boa afinidade,De 3 a 4 horas,Motivado.,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., O apoio da família., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão.",Gostaria de conseguir um bom emprego.,"Um curso promissor. Isso se deve ao elevado grau de competência dos professores e dos considerados recursos disponibilizados pela universidade. Diante disso, minhas expectativas são elevadas.",Engenharia de computação,Engenharia da computação/ engenharia de software,"Problemas Financeiros, Problemas Familiares",,
5/18/2015 16:01:59,ATIVO,Masculino,,Solteiro/a,Não,De 2001 até 3000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Particular,Ampla concorrência,No site da universidade.,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,Pelo fato de a instituição de ensino ser uma universidade pública.,,Pouquíssima afinidade,Alguma afinidade,Boa afinidade,Alguma afinidade,Até 2 horas,Pouco motivado.,Algum conhecimento,Conheço muito bem,Pouquíssimo conhecimento,Pouquíssimo conhecimento,Algum conhecimento,Poucas vezes se verifica,Poucas vezes se verifica,Verifica-se com frequência,Verifica-se com frequência,,,,Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.,Gostaria de conseguir um bom emprego.,As minhas expectativa são boas. Muito estudo.,Engenharia de computação,Ciencia da Computação,"Dificuldade de Organizar Horários de Estudos, Dificuldade de Concentração, Dificuldade com o aprendizado da matemática, Dificuldade com o aprendizado de programação",,
5/18/2015 16:03:02,ATIVO,Feminino,,Solteiro/a,Não,De 1001 até 2000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública e particular,Pública Tradicional,Ampla concorrência,Soube no momento da minha inscrição no SISU.,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Boa afinidade,Alguma afinidade,Muita afinidade,Alguma afinidade,De 2 a 3 horas,Motivado.,Algum conhecimento,Conheço bem,Algum conhecimento,Conheço bem,Conheço muito bem,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).",Espero que consiga me realizar pessoalmente e profissionalmente. Espero ser uma boa profissional e exercer meu trabalho com competência.,Engenharia de computação,Engenharia da Computaçao / Engenharia de Software,"Dificuldade de Concentração, Dificuldade com o aprendizado de programação",,
5/18/2015 16:03:18,ATIVO,Masculino,,Solteiro/a,Não,De 1001 até 2000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Dificuldade de atenção,Pública e particular,Particular e pública,Ampla concorrência,Obtive conhecimento através de amigos e familiares.,Não exerço nenhuma atividade remunerada.,,"Grupo cultural (dança, teatro, música, coral, etc).",É uma área com a qual me identifico.,,Boa afinidade,Alguma afinidade,Muita afinidade,Boa afinidade,De 2 a 3 horas,Motivado.,Conheço bem,Conheço bem,Conheço bem,Algum conhecimento,Algum conhecimento,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,Verifica-se com frequência,,,,"Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão.","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).","Espero começar a me realizar (profissionalmente falando), e dai continuar na área academica afim de aumentar meus conhecimentos na área. Espero um dia ser capaz de fazer (na medida do possível), e implementar o que estou aprendendo aqui no auxílio da humanidade em geral.",Engenharia de computação,EC e CC,"Dificuldade de Concentração, Dificuldade com o aprendizado de programação",,
