Indicação de data e hora,situacao,Curso em que você está matriculado:,"Quais foram a primeira e a segunda opção de cursos que você escolheu no ENEM/Sisu, respectivamente?",Como você tomou conhecimento do curso de sua escolha aqui na UFC de Quixadá?,Sexo,estado_civil,filhos,renda,quem_você_está_morando_atualmente,residindo_em,distancia_ufc_casa,meio_de_transporte,apresenta_necessidade_educacional_especial,tipo_escola_ensino_fundamental,tipo_escola_ensino_medio,forma_ingresso_ufc_qxd,atividade_remunerada,participa_algum_tipo_atividade_organização_associação,fator_escolha_curso,afinidade_linguagens,afinidade_humanas,afinidade_matematica,afinidade_natureza,estudo_fora_sala,motivacao_curso,tarefa_durante_curso,dedicacao_exigida,disciplinas_ofertadas,competencias_habilidades_requiridas,condicoes_mercado_trabalho,competencias_area_ti,realizacao_profissional,concluir_curso_nessa_instituicao,nao_mudaria_de_curso,Assinale DOIS fatores que você acredita que o ajudarão a concluir o curso com êxito:,Assinale as DUAS principais dificuldades que você percebe influenciar a conclusão do curso:,Quais suas expectativas com a conclusão de seu curso?,O que você espera do curso que está inciando? Quais suas expectativas?
4/14/2016 15:26:04,ATIVO,Engenharia de computação,Engenharia de Computação / Ciência da COmputação,Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,De 1001 até 2000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Pública - Profissionalizante na Área de Informática,"Cota L4 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA, autodeclarados pretos, pardos ou indígenas)",Não exerço nenhuma atividade remunerada.,"Clube recreativo ou associação esportiva., Grupo cultural (dança, teatro, música, coral, etc)., Células Estundatis",É uma área com a qual me identifico.,Boa afinidade,Boa afinidade,Muita afinidade,Muita afinidade,De 4 a 6 horas,Muito motivado.,Conheço muito bem,Conheço bem,Conheço muito bem,Conheço bem,Algum conhecimento,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Problemas Financeiros, Dificuldade com o aprendizado da matemática","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).","Espero que tenha um bom rendimento, já que tenho meu objetivo de ser professor acadêmico, concluir e já ingressar em outras áreas de estudo. Espero que me forneça mais conhecimento para ser adquirido e me faça gostar mais ainda do curso que estou realizando."
4/14/2016 15:26:37,ATIVO,Engenharia de computação,"Engenharia de Computação,Física",No site da universidade.,Masculino,Solteiro/a,Não,De 1001 até 2000 reais,Sozinho,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,"Cota L4 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA, autodeclarados pretos, pardos ou indígenas)",Não exerço nenhuma atividade remunerada.,"Grupo cultural (dança, teatro, música, coral, etc).",É uma área com a qual me identifico.,Alguma afinidade,Boa afinidade,Alguma afinidade,Alguma afinidade,De 2 a 3 horas,Motivado.,Algum conhecimento,Algum conhecimento,Algum conhecimento,Algum conhecimento,Conheço bem,Poucas vezes se verifica,Verifica-se com frequência,Verifica-se sempre,Verifica-se com frequência,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade).","Dificuldade de Transporte, Problemas Financeiros","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).",Espero que o curso seja mesmo o que pretendo para a minha vida profissional porque quero muito terminar esta graduação e me realizar sendo um engenheiro competente.
4/14/2016 15:26:56,ATIVO,Engenharia de computação,"Engenharia de Computação, Ciência da Computação",No site da universidade.,Masculino,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Pública - Profissionalizante na Área de Informática,"Cota L4 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA, autodeclarados pretos, pardos ou indígenas)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Alguma afinidade,Boa afinidade,Boa afinidade,Muita afinidade,De 2 a 3 horas,Muito motivado.,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Problemas Financeiros, Dificuldade de Organizar Horários de Estudos",Gostaria de conseguir um bom emprego.,"Agregação de conhecimento ao meu pessoal acadêmico, além de poder participar de diversas atividades acadêmicas cooperativas e conhecer melhor a instituição."
4/14/2016 15:27:18,ATIVO,Engenharia de computação,Engenharia de Energia / Engenharia da Computação,Em sites especializados.,Feminino,Solteiro/a,Não,De 2001 até 3000 reais,Parentes,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Particular,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Alguma afinidade,Alguma afinidade,Muita afinidade,Pouquíssima afinidade,Até 2 horas,Muito motivado.,Conheço bem,Algum conhecimento,Conheço bem,Algum conhecimento,Algum conhecimento,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,Poucas vezes se verifica,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Dificuldade de Transporte, Problemas Financeiros",Gostaria de ser a melhor do mundo nisso.,"Eu espero terminar perfeitamente o meu curso, com as melhores notas possíveis e se possível total presença nas aulas. Espero fazer todas as formas de aprimoramento possíveis nessa área e ser a melhor no que eu faço."
4/14/2016 15:27:33,ATIVO,Engenharia de computação,"Engenharia de Computaçao, Ciencia da Computacao",Obtive conhecimento através de amigos e familiares.,Feminino,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Pública Tradicional,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Clube recreativo ou associação esportiva.,É uma área com a qual me identifico.,Muita afinidade,Boa afinidade,Muita afinidade,Boa afinidade,De 3 a 4 horas,Muito motivado.,Algum conhecimento,Conheço bem,Conheço muito bem,Conheço bem,Algum conhecimento,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Envolvimento em atividades de ensino, pesquisa e extensão.","Problemas Financeiros, Dificuldade de Organizar Horários de Estudos","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).",Espero aproveitar o maximo que a instituiçao tem a oferecer.
4/14/2016 15:28:23,ATIVO,Engenharia de computação,Engenharia de Computação em Fortaleza/ Engenharia de Computação Quixadá,No site da universidade.,Masculino,Solteiro/a,Não,De 3001 até 4000 reais,Parentes,Zona urbana,Entre 10 km e 25 km,Ônibus universitário,Não,Particular,Particular,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Alguma afinidade,Boa afinidade,Boa afinidade,Muita afinidade,Até 2 horas,Motivado.,Algum conhecimento,Algum conhecimento,Conheço bem,Algum conhecimento,Algum conhecimento,Verifica-se com frequência,Verifica-se com frequência,Poucas vezes se verifica,Nunca se verifica,"Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Experiência de estágio na área.","Problemas Familiares, Problemas Pessoais",Gostaria de conseguir um bom emprego.,"Que corresponda as minhas expectativas sobre a área de computação em geral, e que tenha mais aulas práticas na cadeira de circuitos."
4/14/2016 15:29:16,ATIVO,Engenharia de computação,Engenharia de Computaçao Quixada/Fortaleza,Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública Tradicional,"Cota L4 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA, autodeclarados pretos, pardos ou indígenas)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,Por conta de um mercado de trabalho promissor.,Boa afinidade,Muita afinidade,Boa afinidade,Boa afinidade,De 2 a 3 horas,Motivado.,Algum conhecimento,Conheço bem,Algum conhecimento,Algum conhecimento,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Dificuldade de Organizar Horários de Estudos, Dificuldade com o aprendizado de programação",Gostaria de ganhar dinheiro com o meu próprio negócio.,Espero conseguir aprender muito no setor da Tecnologia da Informaçao e quero conseguir abrir minha empresa.
4/14/2016 15:29:49,ATIVO,Engenharia de computação,"Engenharia da computação, Engenharia da Computação",Amigos,Masculino,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública Tradicional,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Pouquíssima afinidade,Alguma afinidade,Alguma afinidade,Boa afinidade,Até 2 horas,Pouco motivado.,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Problemas Financeiros, Dificuldade com o aprendizado da matemática",Gostaria de ganhar dinheiro com o meu próprio negócio.,"Obter novas experiências: vida académica, profissional, pessoal, ao decorrer do curso."
4/14/2016 15:30:00,ATIVO,Engenharia de computação,Engenharia de Computação/Engenharia de Computação,Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,De 1001 até 2000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Particular,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Boa afinidade,Muita afinidade,Muita afinidade,Muita afinidade,De 2 a 3 horas,Muito motivado.,Pouquíssimo conhecimento,Conheço muito bem,Algum conhecimento,Algum conhecimento,Pouquíssimo conhecimento,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,"O apoio da família., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Problemas Financeiros, Dificuldade de Organizar Horários de Estudos",Gostaria de conseguir um bom emprego.,"É um curso de uma área que eu sempre fui muito atraído, então, minhas expectativas são altas, principalmente, em relação ao mercado de trabalho, mesmo não conhecendo tão afundo assim, e na questão de trabalhar em outros países, já que TI e engenharia são áreas bem aceitas mundialmente."
4/14/2016 15:30:07,ATIVO,Engenharia de computação,Engenharia de computação/engenharia de software,No site da universidade.,Masculino,Solteiro/a,Não,De 1001 até 2000 reais,Família,Zona urbana,Até 10 km,Automóvel particular,Não,Pública,Pública Tradicional,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Clube recreativo ou associação esportiva.,É uma área com a qual me identifico.,Alguma afinidade,Boa afinidade,Boa afinidade,Boa afinidade,De 3 a 4 horas,Muito motivado.,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.",nenhuma,Gostaria de conseguir um bom emprego.,me formar e me apaixonar cada vez mais pelo curso
